year_month,metric_id,value
2024-07,sp500_index,5565.2998046875
2024-07,sp500_index,5505.83984375
2024-07,sp500_index,5428.7001953125
2024-07,sp500_index,5433.669921875
2024-07,sp500_index,5476.5498046875
2024-07,sp500_index,5478.72998046875
2024-07,sp500_index,5505.58984375
2024-07,total_tvl_usd,94651520839.0
2024-08,btc_dominance,76.64509882283058
2024-08,eth_dominance,23.354901177169417
2024-08,global_trading_volume,31403681581.194077
2024-08,sp500_index,5537.83984375
2024-08,sp500_index,5376.6298828125
2024-08,sp500_index,5151.14013671875
2024-08,sp500_index,5206.419921875
2024-08,sp500_index,5293.1298828125
2024-08,sp500_index,5252.56982421875
2024-08,sp500_index,5314.66015625
2024-08,sp500_index,5351.8798828125
2024-08,sp500_index,5376.97998046875
2024-08,sp500_index,5442.35986328125
2024-08,sp500_index,5501.1298828125
2024-08,sp500_index,5530.5
2024-08,sp500_index,5557.22998046875
2024-08,sp500_index,5602.8798828125
2024-08,sp500_index,5603.08984375
2024-08,sp500_index,5637.77001953125
2024-08,sp500_index,5602.490234375
2024-08,sp500_index,5639.66015625
2024-08,sp500_index,5602.89013671875
2024-08,sp500_index,5624.509765625
2024-08,sp500_index,5607.2998046875
2024-08,sp500_index,5612.740234375
2024-08,total_tvl_usd,80132721706.0
2024-09,btc_dominance,79.38287511645612
2024-09,eth_dominance,20.617124883543887
2024-09,global_trading_volume,11399086336.303324
2024-09,sp500_index,5623.89013671875
2024-09,sp500_index,5506.68017578125
2024-09,sp500_index,5520.080078125
2024-09,sp500_index,5507.330078125
2024-09,sp500_index,5442.06982421875
2024-09,sp500_index,5490.509765625
2024-09,sp500_index,5496.419921875
2024-09,sp500_index,5557.47998046875
2024-09,sp500_index,5603.33984375
2024-09,sp500_index,5615.2099609375
2024-09,sp500_index,5655.509765625
2024-09,sp500_index,5641.68017578125
2024-09,sp500_index,5702.6298828125
2024-09,sp500_index,5709.64013671875
2024-09,sp500_index,5711.89990234375
2024-09,sp500_index,5727.66015625
2024-09,sp500_index,5733.64990234375
2024-09,sp500_index,5762.22021484375
2024-09,sp500_index,5755.35986328125
2024-09,sp500_index,5726.52001953125
2024-09,total_tvl_usd,87960593780.0
2024-10,btc_dominance,79.99062508641698
2024-10,eth_dominance,20.009374913583024
2024-10,global_trading_volume,35124446789.27111
2024-10,sp500_index,5757.72998046875
2024-10,sp500_index,5698.14013671875
2024-10,sp500_index,5698.18994140625
2024-10,sp500_index,5737.47998046875
2024-10,sp500_index,5737.7998046875
2024-10,sp500_index,5719.14013671875
2024-10,sp500_index,5751.7998046875
2024-10,sp500_index,5778.35986328125
2024-10,sp500_index,5775.08984375
2024-10,sp500_index,5829.81005859375
2024-10,sp500_index,5866.740234375
2024-10,sp500_index,5816.580078125
2024-10,sp500_index,5875.6201171875
2024-10,sp500_index,5859.43017578125
2024-10,sp500_index,5857.81982421875
2024-10,sp500_index,5832.7001953125
2024-10,sp500_index,5834.5
2024-10,sp500_index,5817.7998046875
2024-10,sp500_index,5826.75
2024-10,sp500_index,5833.93017578125
2024-10,sp500_index,5819.68017578125
2024-10,sp500_index,5832.64990234375
2024-10,sp500_index,5775.33984375
2024-10,total_tvl_usd,89003541480.0
2024-11,btc_dominance,82.10951955198364
2024-11,eth_dominance,17.890480448016355
2024-11,global_trading_volume,45907074188.570145
2024-11,sp500_index,5723.22021484375
2024-11,sp500_index,5725.14990234375
2024-11,sp500_index,5722.43017578125
2024-11,sp500_index,5864.89013671875
2024-11,sp500_index,5947.2099609375
2024-11,sp500_index,5976.759765625
2024-11,sp500_index,6008.85986328125
2024-11,sp500_index,6003.60009765625
2024-11,sp500_index,5985.75
2024-11,sp500_index,5989.68017578125
2024-11,sp500_index,5912.7900390625
2024-11,sp500_index,5874.169921875
2024-11,sp500_index,5870.0498046875
2024-11,sp500_index,5914.33984375
2024-11,sp500_index,5940.580078125
2024-11,sp500_index,5944.35986328125
2024-11,sp500_index,5992.27978515625
2024-11,sp500_index,6000.02978515625
2024-11,sp500_index,6014.10986328125
2024-11,sp500_index,6003.97998046875
2024-11,total_tvl_usd,121150682559.0
2024-12,btc_dominance,81.04050288754617
2024-12,eth_dominance,18.95949711245383
2024-12,global_trading_volume,43580019720.720634
2024-12,sp500_index,6040.10986328125
2024-12,sp500_index,6042.97021484375
2024-12,sp500_index,6069.39013671875
2024-12,sp500_index,6089.02978515625
2024-12,sp500_index,6081.3798828125
2024-12,sp500_index,6083.009765625
2024-12,sp500_index,6057.58984375
2024-12,sp500_index,6060.14990234375
2024-12,sp500_index,6074.2900390625
2024-12,sp500_index,6068.169921875
2024-12,sp500_index,6063.7900390625
2024-12,sp500_index,6052.5498046875
2024-12,sp500_index,6047.64990234375
2024-12,sp500_index,5912.7099609375
2024-12,sp500_index,5842.0
2024-12,sp500_index,5940.25
2024-12,sp500_index,5984.6298828125
2024-12,sp500_index,6024.97021484375
2024-12,sp500_index,6006.169921875
2024-12,sp500_index,5920.669921875
2024-12,sp500_index,5919.740234375
2024-12,total_tvl_usd,118483408416.0
2025-01,btc_dominance,82.16476141371798
2025-01,eth_dominance,17.835238586282028
2025-01,global_trading_volume,45327464907.74362
2025-01,sp500_index,5903.259765625
2025-01,sp500_index,5891.06982421875
2025-01,sp500_index,5982.81005859375
2025-01,sp500_index,5993.259765625
2025-01,sp500_index,5910.66015625
2025-01,sp500_index,5890.35009765625
2025-01,sp500_index,5782.02001953125
2025-01,sp500_index,5859.27001953125
2025-01,sp500_index,5905.2099609375
2025-01,sp500_index,5963.60986328125
2025-01,sp500_index,5995.39990234375
2025-01,sp500_index,6014.1201171875
2025-01,sp500_index,6081.39013671875
2025-01,sp500_index,6076.31982421875
2025-01,sp500_index,6121.43017578125
2025-01,sp500_index,5969.0400390625
2025-01,sp500_index,6026.97021484375
2025-01,sp500_index,6057.7001953125
2025-01,sp500_index,6050.75
2025-01,sp500_index,6096.7900390625
2025-01,total_tvl_usd,123177683035.0
2025-02,btc_dominance,83.63536404052566
2025-02,eth_dominance,16.364635959474334
2025-02,global_trading_volume,37187819228.35328
2025-02,sp500_index,5969.64990234375
2025-02,sp500_index,5998.14013671875
2025-02,sp500_index,6020.4501953125
2025-02,sp500_index,6072.22021484375
2025-02,sp500_index,6083.1298828125
2025-02,sp500_index,6046.39990234375
2025-02,sp500_index,6049.31982421875
2025-02,sp500_index,6025.080078125
2025-02,sp500_index,6060.58984375
2025-02,sp500_index,6115.52001953125
2025-02,sp500_index,6121.60009765625
2025-02,sp500_index,6117.759765625
2025-02,sp500_index,6134.5
2025-02,sp500_index,6114.10009765625
2025-02,sp500_index,6026.68994140625
2025-02,sp500_index,5982.72998046875
2025-02,sp500_index,5970.8701171875
2025-02,sp500_index,5981.8798828125
2025-02,sp500_index,5856.740234375
2025-02,total_tvl_usd,98129682473.0
2025-03,btc_dominance,86.13791573974466
2025-03,eth_dominance,13.862084260255344
2025-03,global_trading_volume,80695237175.07367
2025-03,sp500_index,5968.330078125
2025-03,sp500_index,5811.97998046875
2025-03,sp500_index,5781.35986328125
2025-03,sp500_index,5785.8701171875
2025-03,sp500_index,5726.009765625
2025-03,sp500_index,5705.3701171875
2025-03,sp500_index,5603.64990234375
2025-03,sp500_index,5624.83984375
2025-03,sp500_index,5594.4501953125
2025-03,sp500_index,5563.85009765625
2025-03,sp500_index,5635.60009765625
2025-03,sp500_index,5654.52978515625
2025-03,sp500_index,5632.3701171875
2025-03,sp500_index,5646.919921875
2025-03,sp500_index,5630.72998046875
2025-03,sp500_index,5718.080078125
2025-03,sp500_index,5775.9599609375
2025-03,sp500_index,5771.66015625
2025-03,sp500_index,5695.64013671875
2025-03,sp500_index,5679.2001953125
2025-03,sp500_index,5527.91015625
2025-03,total_tvl_usd,91634365969.0
2025-04,btc_dominance,88.14502082669772
2025-04,eth_dominance,11.854979173302283
2025-04,global_trading_volume,30326148749.91535
2025-04,sp500_index,5597.52978515625
2025-04,sp500_index,5580.759765625
2025-04,sp500_index,5492.740234375
2025-04,sp500_index,5292.14013671875
2025-04,sp500_index,4953.7900390625
2025-04,sp500_index,5193.56982421875
2025-04,sp500_index,4965.27978515625
2025-04,sp500_index,5353.14990234375
2025-04,sp500_index,5255.56005859375
2025-04,sp500_index,5441.9599609375
2025-04,sp500_index,5411.990234375
2025-04,sp500_index,5335.75
2025-04,sp500_index,5305.4501953125
2025-04,sp500_index,5232.93994140625
2025-04,sp500_index,5207.669921875
2025-04,sp500_index,5395.919921875
2025-04,sp500_index,5381.3798828125
2025-04,sp500_index,5489.72998046875
2025-04,sp500_index,5529.22021484375
2025-04,sp500_index,5508.8701171875
2025-04,sp500_index,5499.43994140625
2025-04,total_tvl_usd,98712801004.0
2025-05,btc_dominance,89.62518853644862
2025-05,eth_dominance,10.374811463551387
2025-05,global_trading_volume,26541700309.366146
2025-05,sp500_index,5625.14013671875
2025-05,sp500_index,5645.8798828125
2025-05,sp500_index,5655.31982421875
2025-05,sp500_index,5605.8701171875
2025-05,sp500_index,5614.18017578125
2025-05,sp500_index,5663.60009765625
2025-05,sp500_index,5679.64990234375
2025-05,sp500_index,5807.2001953125
2025-05,sp500_index,5854.14990234375
2025-05,sp500_index,5896.740234375
2025-05,sp500_index,5869.81982421875
2025-05,sp500_index,5929.08984375
2025-05,sp500_index,5902.8798828125
2025-05,sp500_index,5944.66015625
2025-05,sp500_index,5910.18017578125
2025-05,sp500_index,5841.259765625
2025-05,sp500_index,5781.89013671875
2025-05,sp500_index,5854.06982421875
2025-05,sp500_index,5925.5400390625
2025-05,sp500_index,5939.9599609375
2025-05,sp500_index,5903.669921875
2025-05,total_tvl_usd,112692682454.0
2025-06,btc_dominance,87.18798679518808
2025-06,eth_dominance,12.812013204811926
2025-06,global_trading_volume,20432694555.09522
2025-06,sp500_index,5896.68017578125
2025-06,sp500_index,5938.56005859375
2025-06,sp500_index,5978.93994140625
2025-06,sp500_index,5985.669921875
2025-06,sp500_index,5987.06005859375
2025-06,sp500_index,6004.6298828125
2025-06,sp500_index,6009.91015625
2025-06,sp500_index,6049.3798828125
2025-06,sp500_index,6009.89990234375
